fact_user_daily_activity_id,user_key,date_key,subscription_plan_key,campaign_key,is_premium,has_active_subscription,logins_count,sessions_count,minutes_watched,lessons_completed,quizzes_attempted,distinct_courses_accessed,active_days_last_30d,days_since_last_login,is_inactive_7d_flag,active_courses_count,completed_courses_total,created_at
<<<<<<< HEAD
<<<<<<< Updated upstream
1,103,20250822,1,9,True,False,0,0,0,0,0,0,13,52,True,0,0,2025-11-20 19:31:33.765524
2,250,20250822,1,31,False,False,1,3,182,8,0,1,16,2,False,1,8,2025-11-20 19:31:33.765533
3,405,20250822,5,22,True,False,5,3,81,2,3,3,19,1,False,3,2,2025-11-20 19:31:33.765539
4,23,20250822,2,50,False,True,2,3,252,0,0,1,28,5,False,1,0,2025-11-20 19:31:33.765545
5,823,20250822,4,43,True,False,1,4,107,2,4,2,16,6,False,2,2,2025-11-20 19:31:33.765549
6,832,20250822,1,27,False,True,1,1,105,5,3,3,6,4,False,3,5,2025-11-20 19:31:33.765554
7,719,20250822,5,1,True,False,0,0,0,0,0,0,7,12,True,0,0,2025-11-20 19:31:33.765557
8,281,20250822,1,33,False,False,4,3,207,5,5,3,22,0,False,3,5,2025-11-20 19:31:33.765562
9,604,20250822,5,2,True,True,0,0,0,0,0,0,4,17,True,0,0,2025-11-20 19:31:33.765564
10,339,20250822,1,32,True,False,5,3,293,10,1,2,1,3,False,2,10,2025-11-20 19:31:33.765570
11,457,20250822,3,1,True,True,0,0,0,0,0,0,12,40,True,0,0,2025-11-20 19:31:33.765573
12,214,20250822,3,49,True,False,1,1,223,8,3,3,12,7,False,3,8,2025-11-20 19:31:33.765578
13,946,20250822,4,48,False,False,0,0,0,0,0,0,3,39,True,0,0,2025-11-20 19:31:33.765580
14,20,20250822,1,22,False,True,3,7,113,4,1,2,27,1,False,2,4,2025-11-20 19:31:33.765585
15,914,20250822,2,32,False,False,0,0,0,0,0,0,2,51,True,0,0,2025-11-20 19:31:33.765588
16,314,20250822,2,33,False,True,0,0,0,0,0,0,5,54,True,0,0,2025-11-20 19:31:33.765590
17,94,20250822,5,42,True,True,4,7,75,6,2,3,30,7,False,3,6,2025-11-20 19:31:33.765595
18,526,20250822,5,3,False,True,5,2,116,1,5,1,10,7,False,1,1,2025-11-20 19:31:33.765599
19,465,20250822,2,49,True,False,0,0,0,0,0,0,2,57,True,0,0,2025-11-20 19:31:33.765602
20,921,20250822,3,46,False,False,0,0,0,0,0,0,4,31,True,0,0,2025-11-20 19:31:33.765605
21,677,20250822,3,47,True,False,1,5,99,3,0,3,4,5,False,3,3,2025-11-20 19:31:33.765610
22,668,20250822,1,49,False,True,0,0,0,0,0,0,11,55,True,0,0,2025-11-20 19:31:33.765613
23,976,20250822,4,36,False,True,1,1,238,8,3,3,14,3,False,3,8,2025-11-20 19:31:33.765618
24,445,20250822,1,28,True,False,5,1,88,10,4,3,9,0,False,3,10,2025-11-20 19:31:33.765622
25,166,20250822,5,4,True,True,1,5,213,4,2,3,3,5,False,3,4,2025-11-20 19:31:33.765627
26,269,20250822,2,11,False,True,2,6,57,1,1,2,1,3,False,2,1,2025-11-20 19:31:33.765632
27,498,20250822,3,14,False,True,4,7,234,9,3,3,7,7,False,3,9,2025-11-20 19:31:33.765636
28,951,20250822,5,27,True,False,0,0,0,0,0,0,10,17,True,0,0,2025-11-20 19:31:33.765639
29,459,20250822,2,35,False,True,0,0,0,0,0,0,12,35,True,0,0,2025-11-20 19:31:33.765641
30,517,20250822,2,15,False,True,0,0,0,0,0,0,13,32,True,0,0,2025-11-20 19:31:33.765644
31,934,20250822,1,37,False,True,3,6,210,10,2,3,14,0,False,3,10,2025-11-20 19:31:33.765649
32,338,20250822,2,1,False,True,4,3,233,10,2,1,2,5,False,1,10,2025-11-20 19:31:33.765653
33,876,20250822,3,7,True,False,0,0,0,0,0,0,9,56,True,0,0,2025-11-20 19:31:33.765656
34,924,20250822,3,2,True,False,3,6,116,6,3,3,6,3,False,3,6,2025-11-20 19:31:33.765660
35,724,20250822,4,2,True,True,5,7,107,6,3,3,27,5,False,3,6,2025-11-20 19:31:33.765665
36,545,20250822,5,49,True,True,0,0,0,0,0,0,15,27,True,0,0,2025-11-20 19:31:33.765667
37,299,20250822,4,5,False,True,0,0,0,0,0,0,12,21,True,0,0,2025-11-20 19:31:33.765670
38,596,20250822,2,8,False,True,2,1,286,4,0,3,18,4,False,3,4,2025-11-20 19:31:33.765674
39,296,20250822,3,5,False,False,4,1,159,0,2,3,15,7,False,3,0,2025-11-20 19:31:33.765695
40,739,20250822,3,46,False,False,5,4,277,10,5,2,28,1,False,2,10,2025-11-20 19:31:33.765700
41,7,20250822,5,25,False,True,2,8,165,7,3,2,25,4,False,2,7,2025-11-20 19:31:33.765704
42,759,20250822,1,22,False,True,0,0,0,0,0,0,5,27,True,0,0,2025-11-20 19:31:33.765707
43,732,20250822,2,41,False,True,1,5,169,5,2,1,9,5,False,1,5,2025-11-20 19:31:33.765711
44,900,20250822,2,1,True,True,4,4,176,1,2,2,16,5,False,2,1,2025-11-20 19:31:33.765716
45,672,20250822,4,2,True,True,2,1,88,2,4,2,28,1,False,2,2,2025-11-20 19:31:33.765721
46,408,20250822,2,42,False,True,0,0,0,0,0,0,15,22,True,0,0,2025-11-20 19:31:33.765723
47,917,20250822,2,6,True,False,4,1,290,8,5,1,16,6,False,1,8,2025-11-20 19:31:33.765728
48,954,20250822,5,41,True,False,4,5,88,3,0,1,26,6,False,1,3,2025-11-20 19:31:33.765732
49,698,20250822,1,39,True,False,2,5,56,7,1,3,27,5,False,3,7,2025-11-20 19:31:33.765736
50,419,20250822,1,23,True,False,4,5,104,1,4,1,7,5,False,1,1,2025-11-20 19:31:33.765741
51,266,20250822,5,43,True,True,5,5,166,2,1,3,19,3,False,3,2,2025-11-20 19:31:33.765745
52,13,20250822,1,42,False,True,0,0,0,0,0,0,13,28,True,0,0,2025-11-20 19:31:33.765748
53,33,20250822,4,21,True,False,2,5,37,10,4,1,7,0,False,1,10,2025-11-20 19:31:33.765753
54,807,20250822,1,7,False,True,4,5,151,9,4,1,26,6,False,1,9,2025-11-20 19:31:33.765758
55,347,20250822,4,3,False,False,3,2,69,10,0,3,24,1,False,3,10,2025-11-20 19:31:33.765762
56,838,20250822,2,1,True,False,0,0,0,0,0,0,1,42,True,0,0,2025-11-20 19:31:33.765765
57,881,20250822,2,32,True,False,2,1,211,1,4,2,28,6,False,2,1,2025-11-20 19:31:33.765769
58,539,20250822,4,18,False,False,2,6,286,1,0,2,8,1,False,2,1,2025-11-20 19:31:33.765774
59,821,20250822,4,44,False,False,4,6,82,9,5,1,10,6,False,1,9,2025-11-20 19:31:33.765778
60,788,20250822,3,48,True,True,3,6,100,1,4,2,21,7,False,2,1,2025-11-20 19:31:33.765782
61,78,20250822,5,19,False,False,0,0,0,0,0,0,9,46,True,0,0,2025-11-20 19:31:33.765785
62,130,20250822,4,41,True,True,0,0,0,0,0,0,13,42,True,0,0,2025-11-20 19:31:33.765788
63,531,20250822,4,50,True,False,4,5,145,8,1,1,17,2,False,1,8,2025-11-20 19:31:33.765793
64,827,20250822,2,45,False,True,0,0,0,0,0,0,9,8,True,0,0,2025-11-20 19:31:33.765795
65,931,20250822,2,19,False,True,1,8,187,6,5,1,4,2,False,1,6,2025-11-20 19:31:33.765800
66,815,20250822,3,45,False,True,4,7,175,6,0,1,6,3,False,1,6,2025-11-20 19:31:33.765805
67,642,20250822,5,8,False,False,5,1,188,7,3,2,15,4,False,2,7,2025-11-20 19:31:33.765809
68,563,20250822,2,19,True,True,3,2,229,8,2,3,8,5,False,3,8,2025-11-20 19:31:33.765814
69,161,20250822,1,38,False,False,4,2,271,0,3,2,21,0,False,2,0,2025-11-20 19:31:33.765818
70,461,20250822,3,12,True,True,0,0,0,0,0,0,4,25,True,0,0,2025-11-20 19:31:33.765821
71,938,20250822,3,44,False,False,5,1,276,4,2,2,17,1,False,2,4,2025-11-20 19:31:33.765825
72,781,20250822,5,8,True,False,4,2,251,7,3,1,29,1,False,1,7,2025-11-20 19:31:33.765830
73,973,20250822,4,28,True,True,5,8,57,3,3,3,13,4,False,3,3,2025-11-20 19:31:33.765835
74,592,20250822,4,20,False,False,0,0,0,0,0,0,7,31,True,0,0,2025-11-20 19:31:33.765837
75,366,20250822,2,44,False,False,0,0,0,0,0,0,14,17,True,0,0,2025-11-20 19:31:33.765840
76,394,20250822,1,12,False,False,5,5,246,4,1,1,16,4,False,1,4,2025-11-20 19:31:33.765845
77,473,20250822,3,36,True,False,5,8,166,7,5,3,26,2,False,3,7,2025-11-20 19:31:33.765849
78,763,20250822,4,16,True,True,4,3,233,5,4,2,28,2,False,2,5,2025-11-20 19:31:33.765854
79,987,20250822,4,13,False,True,1,4,38,3,1,2,24,5,False,2,3,2025-11-20 19:31:33.765859
80,923,20250822,5,41,True,True,0,0,0,0,0,0,14,39,True,0,0,2025-11-20 19:31:33.765861
81,965,20250822,5,38,False,True,2,1,271,0,5,1,10,1,False,1,0,2025-11-20 19:31:33.765866
82,273,20250822,1,28,False,True,1,5,193,4,2,1,2,6,False,1,4,2025-11-20 19:31:33.765870
83,958,20250822,1,41,True,False,2,2,278,0,1,2,30,5,False,2,0,2025-11-20 19:31:33.765874
84,30,20250822,2,48,True,False,0,0,0,0,0,0,0,19,True,0,0,2025-11-20 19:31:33.765877
85,252,20250822,2,5,True,True,0,0,0,0,0,0,15,17,True,0,0,2025-11-20 19:31:33.765880
86,121,20250822,1,19,True,True,4,4,107,6,3,1,7,5,False,1,6,2025-11-20 19:31:33.765884
87,631,20250822,1,46,True,False,4,2,273,2,0,2,23,2,False,2,2,2025-11-20 19:31:33.765889
88,714,20250822,1,3,False,True,2,5,76,6,4,2,25,1,False,2,6,2025-11-20 19:31:33.765894
89,387,20250822,4,1,False,True,5,1,148,5,0,2,9,4,False,2,5,2025-11-20 19:31:33.765898
90,690,20250822,4,28,True,False,0,0,0,0,0,0,13,45,True,0,0,2025-11-20 19:31:33.765901
91,238,20250822,4,40,True,False,0,0,0,0,0,0,12,14,True,0,0,2025-11-20 19:31:33.765903
92,297,20250822,5,32,False,True,3,8,78,6,5,2,6,5,False,2,6,2025-11-20 19:31:33.765908
93,774,20250822,3,21,True,True,1,5,248,6,4,2,15,5,False,2,6,2025-11-20 19:31:33.765912
94,400,20250822,3,48,True,True,0,0,0,0,0,0,10,60,True,0,0,2025-11-20 19:31:33.765915
95,148,20250822,4,22,False,False,2,5,275,0,2,2,26,4,False,2,0,2025-11-20 19:31:33.765919
96,466,20250822,1,22,True,False,2,3,246,4,4,1,26,1,False,1,4,2025-11-20 19:31:33.765924
97,680,20250822,4,4,False,False,4,5,42,1,5,3,17,0,False,3,1,2025-11-20 19:31:33.765929
98,323,20250822,3,33,False,False,4,3,240,7,4,2,8,4,False,2,7,2025-11-20 19:31:33.765933
99,35,20250822,3,42,False,False,4,4,187,0,3,1,25,2,False,1,0,2025-11-20 19:31:33.765937
100,378,20250822,5,19,True,False,3,7,129,3,5,3,5,1,False,3,3,2025-11-20 19:31:33.765941
101,660,20250822,4,21,True,True,0,0,0,0,0,0,4,36,True,0,0,2025-11-20 19:31:33.765944
102,581,20250822,3,30,False,False,0,0,0,0,0,0,15,30,True,0,0,2025-11-20 19:31:33.765947
103,290,20250822,2,34,False,True,0,0,0,0,0,0,2,13,True,0,0,2025-11-20 19:31:33.765949
104,533,20250822,4,8,False,True,2,8,163,5,1,1,24,0,False,1,5,2025-11-20 19:31:33.765954
105,377,20250822,2,44,False,False,4,2,43,10,2,2,4,1,False,2,10,2025-11-20 19:31:33.765958
106,818,20250822,4,18,True,True,0,0,0,0,0,0,11,33,True,0,0,2025-11-20 19:31:33.765961
107,73,20250822,4,43,False,True,0,0,0,0,0,0,7,48,True,0,0,2025-11-20 19:31:33.765963
108,707,20250822,3,4,False,False,3,2,104,1,5,3,20,7,False,3,1,2025-11-20 19:31:33.765968
109,398,20250822,4,29,False,False,5,7,54,1,4,1,22,4,False,1,1,2025-11-20 19:31:33.765972
110,6,20250822,3,38,False,True,5,5,214,4,2,3,22,0,False,3,4,2025-11-20 19:31:33.765977
111,230,20250822,5,28,False,True,2,8,142,5,1,1,6,4,False,1,5,2025-11-20 19:31:33.765981
112,930,20250822,4,22,True,True,3,4,106,3,3,2,3,2,False,2,3,2025-11-20 19:31:33.765986
113,675,20250822,1,15,False,True,0,0,0,0,0,0,9,22,True,0,0,2025-11-20 19:31:33.765988
114,565,20250822,1,1,False,False,0,0,0,0,0,0,15,31,True,0,0,2025-11-20 19:31:33.765991
115,715,20250822,3,41,True,True,0,0,0,0,0,0,0,14,True,0,0,2025-11-20 19:31:33.765993
116,1,20250822,5,34,False,False,2,6,205,5,2,3,4,2,False,3,5,2025-11-20 19:31:33.765998
117,848,20250822,3,26,True,False,4,3,121,2,5,1,23,1,False,1,2,2025-11-20 19:31:33.766002
118,286,20250822,2,8,True,True,0,0,0,0,0,0,4,58,True,0,0,2025-11-20 19:31:33.766005
119,817,20250822,3,29,True,False,4,5,117,10,0,2,21,6,False,2,10,2025-11-20 19:31:33.766009
120,56,20250822,3,28,False,False,5,7,184,3,2,1,10,7,False,1,3,2025-11-20 19:31:33.766013
121,141,20250822,5,16,True,False,3,7,108,2,1,2,28,7,False,2,2,2025-11-20 19:31:33.766018
122,897,20250822,1,20,False,False,0,0,0,0,0,0,14,24,True,0,0,2025-11-20 19:31:33.766021
