interaction_id,user_key,campaign_key,date_key,channel_key,sent_flag,opened_flag,clicked_flag,converted_flag,time_to_conversion_days,created_at
1,623,42,20251003,4,True,True,False,False,,2025-11-20 17:39:07.624863
2,651,14,20250916,2,True,True,False,False,,2025-11-20 17:39:07.624921
3,470,48,20251110,1,True,False,False,False,,2025-11-20 17:39:07.624937
4,293,4,20251105,1,True,True,True,False,,2025-11-20 17:39:07.624961
5,227,43,20250826,4,True,False,False,False,,2025-11-20 17:39:07.624983
6,955,33,20250903,3,True,True,True,False,,2025-11-20 17:39:07.624994
7,934,4,20250912,4,True,True,True,True,7.0,2025-11-20 17:39:07.625007
8,66,19,20250904,2,True,True,True,True,7.0,2025-11-20 17:39:07.625017
9,340,25,20250829,1,True,True,True,False,,2025-11-20 17:39:07.625027
10,198,19,20251021,1,True,True,False,False,,2025-11-20 17:39:07.625036
11,159,24,20251030,4,True,True,False,False,,2025-11-20 17:39:07.625045
12,759,30,20251111,1,True,True,True,False,,2025-11-20 17:39:07.625061
13,605,2,20250825,2,True,False,False,False,,2025-11-20 17:39:07.625069
14,485,1,20251116,3,True,True,False,False,,2025-11-20 17:39:07.625078
15,368,22,20251111,4,True,True,False,False,,2025-11-20 17:39:07.625087
16,901,5,20250830,4,True,True,True,False,,2025-11-20 17:39:07.625096
17,974,46,20250926,3,True,False,False,False,,2025-11-20 17:39:07.625105
18,775,45,20250829,3,True,True,False,False,,2025-11-20 17:39:07.625114
19,121,48,20250913,1,True,True,False,False,,2025-11-20 17:39:07.625123
20,1000,19,20250905,2,True,True,False,False,,2025-11-20 17:39:07.625132
21,472,21,20250914,1,True,True,True,False,,2025-11-20 17:39:07.625142
22,522,50,20251022,1,True,True,False,False,,2025-11-20 17:39:07.625151
23,750,7,20250927,4,True,True,True,False,,2025-11-20 17:39:07.625160
24,600,32,20251107,1,True,False,False,False,,2025-11-20 17:39:07.625168
25,68,18,20251006,2,True,False,False,False,,2025-11-20 17:39:07.625177
26,887,50,20250917,1,True,True,True,False,,2025-11-20 17:39:07.625187
27,762,46,20251109,2,True,True,True,False,,2025-11-20 17:39:07.625197
28,143,18,20251008,4,True,False,False,False,,2025-11-20 17:39:07.625205
29,857,10,20251016,3,True,True,False,False,,2025-11-20 17:39:07.625214
30,491,34,20251004,1,True,True,False,False,,2025-11-20 17:39:07.625223
31,937,23,20251030,2,True,True,True,False,,2025-11-20 17:39:07.625233
32,654,42,20250903,3,True,True,False,False,,2025-11-20 17:39:07.625241
33,976,41,20251110,1,True,True,True,False,,2025-11-20 17:39:07.625251
34,699,25,20251113,3,True,True,False,False,,2025-11-20 17:39:07.625259
35,136,38,20250916,1,True,True,False,False,,2025-11-20 17:39:07.625268
36,356,4,20250914,2,True,True,False,False,,2025-11-20 17:39:07.625277
37,679,12,20251004,2,True,True,True,False,,2025-11-20 17:39:07.625286
38,306,42,20250902,2,True,True,True,True,6.0,2025-11-20 17:39:07.625296
39,184,30,20251017,3,True,True,False,False,,2025-11-20 17:39:07.625304
40,251,4,20250910,1,True,False,False,False,,2025-11-20 17:39:07.625312
41,521,20,20251112,2,True,False,False,False,,2025-11-20 17:39:07.625320
42,871,11,20251014,4,True,True,False,False,,2025-11-20 17:39:07.625329
43,555,17,20250909,1,True,True,True,False,,2025-11-20 17:39:07.625338
44,36,30,20251002,4,True,True,True,False,,2025-11-20 17:39:07.625347
45,248,29,20251027,3,True,False,False,False,,2025-11-20 17:39:07.625355
46,57,3,20250917,1,True,True,True,True,7.0,2025-11-20 17:39:07.625368
47,925,45,20251118,3,True,True,False,False,,2025-11-20 17:39:07.625376
48,761,50,20251101,4,True,True,True,False,,2025-11-20 17:39:07.625385
49,522,34,20250928,2,True,False,False,False,,2025-11-20 17:39:07.625393
50,233,16,20250904,3,True,True,False,False,,2025-11-20 17:39:07.625405
51,951,23,20251112,3,True,True,False,False,,2025-11-20 17:39:07.625413
52,936,30,20251007,4,True,True,True,False,,2025-11-20 17:39:07.625422
53,794,38,20250830,1,True,True,False,False,,2025-11-20 17:39:07.625431
54,309,5,20250925,2,True,True,True,False,,2025-11-20 17:39:07.625441
55,432,39,20250918,2,True,True,False,False,,2025-11-20 17:39:07.625450
56,293,15,20250904,1,True,True,True,False,,2025-11-20 17:39:07.625459
57,295,48,20251006,4,True,True,False,False,,2025-11-20 17:39:07.625468
58,991,47,20251008,2,True,False,False,False,,2025-11-20 17:39:07.625476
59,270,14,20251117,2,True,True,True,True,5.0,2025-11-20 17:39:07.625486
60,731,39,20251104,3,True,True,False,False,,2025-11-20 17:39:07.625494
61,449,28,20250924,4,True,True,False,False,,2025-11-20 17:39:07.625503
62,970,9,20250905,3,True,True,False,False,,2025-11-20 17:39:07.625511
63,931,1,20251005,4,True,True,True,False,,2025-11-20 17:39:07.625520
64,781,3,20250905,4,True,True,False,False,,2025-11-20 17:39:07.625529
65,190,18,20251029,1,True,True,False,False,,2025-11-20 17:39:07.625538
66,460,44,20250924,1,True,True,False,False,,2025-11-20 17:39:07.625551
67,133,26,20250921,3,True,True,False,False,,2025-11-20 17:39:07.625559
68,62,10,20250913,2,True,True,False,False,,2025-11-20 17:39:07.625568
69,586,33,20251014,1,True,True,True,True,7.0,2025-11-20 17:39:07.625578
70,31,5,20251003,2,True,False,False,False,,2025-11-20 17:39:07.625586
71,846,6,20251003,1,True,True,True,False,,2025-11-20 17:39:07.625595
72,829,15,20250924,1,True,True,False,False,,2025-11-20 17:39:07.625604
73,325,14,20250929,1,True,True,False,False,,2025-11-20 17:39:07.625633
74,48,20,20250925,1,True,True,True,True,7.0,2025-11-20 17:39:07.625645
75,560,28,20251024,2,True,True,False,False,,2025-11-20 17:39:07.625653
