activity_id,user_key,date_key,subscription_plan_key,logins_count,sessions_count,minutes_watched,lessons_completed,quizzes_attempted,distinct_courses_accessed,active_days_last_30d,days_since_last_login,is_inactive_7d_flag,is_premium,has_active_subscription
1,757,20250822,4,2,6,149,3,0,3,29,2,False,False,False
2,238,20250822,3,0,0,0,0,0,0,3,42,True,False,False
3,67,20250822,2,1,6,180,5,3,2,26,5,False,True,True
4,213,20250822,3,5,8,118,6,4,2,13,3,False,True,False
5,346,20250822,3,0,0,0,0,0,0,8,46,True,False,True
6,486,20250822,1,3,8,268,1,0,1,3,4,False,True,False
7,613,20250822,5,4,1,83,1,5,1,1,7,False,False,False
8,890,20250822,5,4,8,182,0,1,1,21,1,False,True,True
9,28,20250822,2,2,2,122,2,0,2,25,3,False,True,True
10,558,20250822,2,0,0,0,0,0,0,7,37,True,False,True
11,424,20250822,2,5,8,182,3,1,2,5,5,False,False,False
12,766,20250822,3,0,0,0,0,0,0,10,19,True,False,True
13,135,20250822,5,5,8,101,7,3,3,22,7,False,False,True
14,879,20250822,4,0,0,0,0,0,0,3,10,True,True,False
15,769,20250822,1,0,0,0,0,0,0,3,35,True,False,True
16,383,20250822,1,2,5,144,8,3,1,10,5,False,False,False
17,506,20250822,3,4,8,276,0,0,1,25,4,False,True,False
18,591,20250822,5,1,8,135,2,1,3,20,7,False,True,False
19,756,20250822,1,1,5,286,7,4,2,26,6,False,False,False
20,233,20250822,1,0,0,0,0,0,0,4,41,True,True,False
21,69,20250822,5,4,4,134,0,4,2,1,3,False,False,False
22,820,20250822,5,3,5,198,10,5,2,5,4,False,True,True
23,117,20250822,4,0,0,0,0,0,0,1,60,True,True,True
24,27,20250822,2,0,0,0,0,0,0,12,44,True,True,True
25,532,20250822,3,3,6,272,0,4,2,10,6,False,True,False
26,649,20250822,2,4,3,21,4,2,2,24,5,False,False,True
27,326,20250822,1,1,1,223,5,2,1,26,5,False,True,False
28,407,20250822,3,0,0,0,0,0,0,6,58,True,False,False
29,310,20250822,5,4,6,152,5,5,2,16,7,False,False,True
